Czas(s),Calkowity czas oczekiwania(s)
7305.0,246.0
7310.0,35.0
7315.0,46.0
7320.0,116.0
7325.0,215.0
7330.0,343.0
7335.0,509.0
7340.0,697.0
7345.0,887.0
7350.0,907.0
7355.0,665.0
7360.0,473.0
7365.0,226.0
7370.0,11.0
7375.0,21.0
7380.0,41.0
7385.0,63.0
7390.0,90.0
7395.0,7.0
7400.0,19.0
7405.0,66.0
7410.0,148.0
7415.0,265.0
7420.0,412.0
7425.0,591.0
7430.0,781.0
7435.0,971.0
7440.0,822.0
7445.0,613.0
7450.0,376.0
7455.0,152.0
7460.0,38.0
7465.0,55.0
7470.0,80.0
7475.0,105.0
7480.0,130.0
7485.0,10.0
7490.0,41.0
7495.0,100.0
7500.0,189.0
7505.0,309.0
7510.0,457.0
7515.0,639.0
7520.0,829.0
7525.0,933.0
7530.0,701.0
7535.0,531.0
7540.0,305.0
7545.0,58.0
7550.0,92.0
7555.0,136.0
7560.0,188.0
7565.0,248.0
7570.0,155.0
7575.0,17.0
7580.0,52.0
7585.0,119.0
7590.0,216.0
7595.0,343.0
7600.0,503.0
7605.0,685.0
7610.0,875.0
7615.0,816.0
7620.0,631.0
7625.0,431.0
7630.0,209.0
7635.0,96.0
7640.0,141.0
7645.0,196.0
7650.0,259.0
7655.0,324.0
7660.0,104.0
7665.0,22.0
7670.0,74.0
7675.0,158.0
7680.0,268.0
7685.0,406.0
7690.0,577.0
7695.0,767.0
7700.0,957.0
7705.0,733.0
7710.0,494.0
7715.0,310.0
7720.0,77.0
7725.0,71.0
7730.0,101.0
7735.0,146.0
7740.0,191.0
7745.0,153.0
7750.0,12.0
7755.0,47.0
7760.0,109.0
7765.0,196.0
7770.0,309.0
7775.0,457.0
7780.0,636.0
7785.0,826.0
7790.0,844.0
7795.0,612.0
7800.0,442.0
7805.0,214.0
